RESPNUM_FK,comment_field,comment_group,comment_code,Comment,Sentiment
3,Q8COM1,Q8,14,Charging stations / plugs don’t work / add more,Negative
7,Q8COM1,Q8,32,Boarding areas too small / uncomfortable during delays,Negative
9,Q8COM1,Q8,8,Staff (general) are great / excellent customer service,Positive
10,Q8COM1,Q8,1,General positive comment / everything is great,Positive
13,Q8COM1,Q8,102,Wider selection of restaurants,Negative
14,Q8COM1,Q8,8,Staff (general) are great / excellent customer service,Positive
15,Q8COM1,Q8,4,Don’t know / don’t come enough to know,Neutral
18,Q8COM1,Q8,12,Elevators / escalators / people movers broken,Negative
19,Q8COM1,Q8,1,General positive comment / everything is great,Positive
20,Q8COM1,Q8,104,"Add specific restaurant types (e.g., Asian, breakfast, pizza)",Negative
21,Q8COM1,Q8,14,Charging stations / plugs don’t work / add more,Negative
23,Q8COM1,Q8,105,Improve quality of food,Negative
24,Q8COM1,Q8,1,General positive comment / everything is great,Positive
25,Q8COM1,Q8,14,Charging stations / plugs don’t work / add more,Negative
26,Q8COM1,Q8,32,Boarding areas too small / uncomfortable during delays,Negative
27,Q8COM1,Q8,62,Airport easy to get around / great layout / clean,Positive
28,Q8COM1,Q8,54,Add more boarding gate signs in more areas,Negative
29,Q8COM1,Q8,1,General positive comment / everything is great,Positive
31,Q8COM1,Q8,3,Airport is OK / average (general),Neutral
32,Q8COM1,Q8,22,More / cleaner restrooms / fix facilities,Negative
33,Q8COM1,Q8,102,Wider selection of restaurants,Negative
34,Q8COM1,Q8,101,Too expensive / reduce prices / cheaper options,Negative
35,Q8COM1,Q8,105,Improve quality of food,Negative
39,Q8COM1,Q8,204,Streamline customs/immigration; lines too long,Negative
41,Q8COM1,Q8,18,Change / improve / add artwork,Negative
42,Q8COM1,Q8,1,General positive comment / everything is great,Positive
43,Q8COM1,Q8,109,More high‑end restaurants,Negative
44,Q8COM1,Q8,71,Approach signs inaccurate (which airline at which terminal),Negative
45,Q8COM1,Q8,101,Too expensive / reduce prices / cheaper options,Negative
47,Q8COM1,Q8,206,Security staff rude / treat passengers better,Negative
50,Q8COM1,Q8,102,Wider selection of restaurants,Negative
52,Q8COM1,Q8,1,General positive comment / everything is great,Positive
55,Q8COM1,Q8,31,Need more seating at boarding areas,Negative
62,Q8COM1,Q8,1,General positive comment / everything is great,Positive
64,Q8COM1,Q8,3,Airport is OK / average (general),Neutral
65,Q8COM1,Q8,18,Change / improve / add artwork,Negative
66,Q8COM1,Q8,74,Rental car center too congested / far / not accessible,Negative
72,Q8COM1,Q8,51,Provide announcements / signs in other languages,Negative
75,Q8COM1,Q8,62,Airport easy to get around / great layout / clean,Positive
76,Q8COM1,Q8,3,Airport is OK / average (general),Neutral
77,Q8COM1,Q8,31,Need more seating at boarding areas,Negative
78,Q8COM1,Q8,102,Wider selection of restaurants,Negative
81,Q8COM1,Q8,1,General positive comment / everything is great,Positive
82,Q8COM1,Q8,11,Better Wi‑Fi / connection issues / info about Wi‑Fi,Negative
83,Q8COM1,Q8,58,Add more walkways / connect terminals / better directions,Negative
85,Q8COM1,Q8,3,Airport is OK / average (general),Neutral
86,Q8COM1,Q8,1,General positive comment / everything is great,Positive
88,Q8COM1,Q8,1,General positive comment / everything is great,Positive
89,Q8COM1,Q8,1,General positive comment / everything is great,Positive
90,Q8COM1,Q8,1,General positive comment / everything is great,Positive
94,Q8COM1,Q8,11,Better Wi‑Fi / connection issues / info about Wi‑Fi,Negative
95,Q8COM1,Q8,42,Carpeting makes rolling luggage hard / escalators with bags difficult,Negative
99,Q8COM1,Q8,8,Staff (general) are great / excellent customer service,Positive
101,Q8COM1,Q8,18,Change / improve / add artwork,Negative
102,Q8COM1,Q8,103,More casual/fast food options,Negative
103,Q8COM1,Q8,60,Could not find information booths / staff,Negative
104,Q8COM1,Q8,204,Streamline customs/immigration; lines too long,Negative
105,Q8COM1,Q8,32,Boarding areas too small / uncomfortable during delays,Negative
107,Q8COM1,Q8,76,Pickup/dropoff by car easier to navigate,Negative
110,Q8COM1,Q8,102,Wider selection of restaurants,Negative
111,Q8COM1,Q8,14,Charging stations / plugs don’t work / add more,Negative
112,Q8COM1,Q8,22,More / cleaner restrooms / fix facilities,Negative
115,Q8COM1,Q8,72,Approach by car too congested,Negative
117,Q8COM1,Q8,1,General positive comment / everything is great,Positive
119,Q8COM1,Q8,5,Reduce delays / finish runway construction,Negative
120,Q8COM1,Q8,204,Streamline customs/immigration; lines too long,Negative
122,Q8COM1,Q8,1,General positive comment / everything is great,Positive
123,Q8COM1,Q8,102,Wider selection of restaurants,Negative
125,Q8COM1,Q8,1,General positive comment / everything is great,Positive
129,Q8COM1,Q8,1,General positive comment / everything is great,Positive
131,Q8COM1,Q8,1,General positive comment / everything is great,Positive
132,Q8COM1,Q8,153,Improve store staff customer service,Negative
133,Q8COM1,Q8,19,Add more ‘things to do’ / interactive spaces,Negative
134,Q8COM1,Q8,11,Better Wi‑Fi / connection issues / info about Wi‑Fi,Negative
135,Q8COM1,Q8,62,Airport easy to get around / great layout / clean,Positive
136,Q8COM1,Q8,14,Charging stations / plugs don’t work / add more,Negative
137,Q8COM1,Q8,105,Improve quality of food,Negative
139,Q8COM1,Q8,1,General positive comment / everything is great,Positive
140,Q8COM1,Q8,1,General positive comment / everything is great,Positive
142,Q8COM1,Q8,104,"Add specific restaurant types (e.g., Asian, breakfast, pizza)",Negative
143,Q8COM1,Q8,74,Rental car center too congested / far / not accessible,Negative
144,Q8COM1,Q8,207,Immigration/customs staff rude,Negative
146,Q8COM1,Q8,1,General positive comment / everything is great,Positive
147,Q8COM1,Q8,1,General positive comment / everything is great,Positive
148,Q8COM1,Q8,102,Wider selection of restaurants,Negative
150,Q8COM1,Q8,76,Pickup/dropoff by car easier to navigate,Negative
151,Q8COM1,Q8,995,Keep protesters out of SFO,Negative
153,Q8COM1,Q8,501,Increase airline staffing / check‑in too long / overburdened,Negative
154,Q8COM1,Q8,1,General positive comment / everything is great,Positive
155,Q8COM1,Q8,31,Need more seating at boarding areas,Negative
158,Q8COM1,Q8,19,Add more ‘things to do’ / interactive spaces,Negative
159,Q8COM1,Q8,16,Add place to nap / sleep,Negative
162,Q8COM1,Q8,102,Wider selection of restaurants,Negative
163,Q8COM1,Q8,201,Security lines too long,Negative
164,Q8COM1,Q8,1,General positive comment / everything is great,Positive
166,Q8COM1,Q8,151,Wider selection of shops,Negative
167,Q8COM1,Q8,22,More / cleaner restrooms / fix facilities,Negative
168,Q8COM1,Q8,501,Increase airline staffing / check‑in too long / overburdened,Negative
175,Q8COM1,Q8,31,Need more seating at boarding areas,Negative
176,Q8COM1,Q8,59,AirTrain signage nonexistent / confusing,Negative
177,Q8COM1,Q8,151,Wider selection of shops,Negative
178,Q8COM1,Q8,4,Don’t know / don’t come enough to know,Neutral
179,Q8COM1,Q8,102,Wider selection of restaurants,Negative
183,Q8COM1,Q8,21,Add televisions,Negative
184,Q8COM1,Q8,20,Open shops / currency / info booths earlier,Negative
185,Q8COM1,Q8,103,More casual/fast food options,Negative
186,Q8COM1,Q8,1,General positive comment / everything is great,Positive
187,Q8COM1,Q8,102,Wider selection of restaurants,Negative
189,Q8COM1,Q8,20,Open shops / currency / info booths earlier,Negative
193,Q8COM1,Q8,41,Improve communications on gate changes / delays,Negative
194,Q8COM1,Q8,1,General positive comment / everything is great,Positive
195,Q8COM1,Q8,502,Airline staff rude / not helpful,Negative
196,Q8COM1,Q8,63,Better signage/directions (general),Negative
198,Q8COM1,Q8,5,Reduce delays / finish runway construction,Negative
199,Q8COM1,Q8,42,Carpeting makes rolling luggage hard / escalators with bags difficult,Negative
205,Q8COM1,Q8,74,Rental car center too congested / far / not accessible,Negative
206,Q8COM1,Q8,2,Comments about the survey itself,Neutral
207,Q8COM1,Q8,74,Rental car center too congested / far / not accessible,Negative
208,Q8COM1,Q8,56,Could not find gate / signage insufficient,Negative
209,Q8COM1,Q8,1,General positive comment / everything is great,Positive
210,Q8COM1,Q8,24,More trash / recycling / compost bins,Negative
211,Q8COM1,Q8,102,Wider selection of restaurants,Negative
212,Q8COM1,Q8,1,General positive comment / everything is great,Positive
213,Q8COM1,Q8,151,Wider selection of shops,Negative
215,Q8COM1,Q8,1,General positive comment / everything is great,Positive
216,Q8COM1,Q8,8,Staff (general) are great / excellent customer service,Positive
217,Q8COM1,Q8,1,General positive comment / everything is great,Positive
218,Q8COM1,Q8,1,General positive comment / everything is great,Positive
221,Q8COM1,Q8,102,Wider selection of restaurants,Negative
225,Q8COM1,Q8,76,Pickup/dropoff by car easier to navigate,Negative
226,Q8COM1,Q8,72,Approach by car too congested,Negative
227,Q8COM1,Q8,201,Security lines too long,Negative
229,Q8COM1,Q8,60,Could not find information booths / staff,Negative
233,Q8COM1,Q8,1,General positive comment / everything is great,Positive
234,Q8COM1,Q8,56,Could not find gate / signage insufficient,Negative
235,Q8COM1,Q8,75,More/cheaper parking / better signage & info,Negative
236,Q8COM1,Q8,151,Wider selection of shops,Negative
237,Q8COM1,Q8,54,Add more boarding gate signs in more areas,Negative
244,Q8COM1,Q8,1,General positive comment / everything is great,Positive
253,Q8COM1,Q8,102,Wider selection of restaurants,Negative
259,Q8COM1,Q8,151,Wider selection of shops,Negative
265,Q8COM1,Q8,32,Boarding areas too small / uncomfortable during delays,Negative
266,Q8COM1,Q8,32,Boarding areas too small / uncomfortable during delays,Negative
272,Q8COM1,Q8,63,Better signage/directions (general),Negative
273,Q8COM1,Q8,19,Add more ‘things to do’ / interactive spaces,Negative
274,Q8COM1,Q8,1,General positive comment / everything is great,Positive
279,Q8COM1,Q8,1,General positive comment / everything is great,Positive
283,Q8COM1,Q8,1,General positive comment / everything is great,Positive
284,Q8COM1,Q8,1,General positive comment / everything is great,Positive
287,Q8COM1,Q8,57,Announcements hard to hear / understand,Negative
288,Q8COM1,Q8,22,More / cleaner restrooms / fix facilities,Negative
289,Q8COM1,Q8,13,Luggage carts: more / free / available after security,Negative
292,Q8COM1,Q8,202,Security area too crowded,Negative
295,Q8COM1,Q8,1,General positive comment / everything is great,Positive
298,Q8COM1,Q8,14,Charging stations / plugs don’t work / add more,Negative
304,Q8COM1,Q8,204,Streamline customs/immigration; lines too long,Negative
307,Q8COM1,Q8,101,Too expensive / reduce prices / cheaper options,Negative
310,Q8COM1,Q8,7,Update older areas / airport seems outdated,Negative
311,Q8COM1,Q8,1,General positive comment / everything is great,Positive
315,Q8COM1,Q8,102,Wider selection of restaurants,Negative
320,Q8COM1,Q8,14,Charging stations / plugs don’t work / add more,Negative
322,Q8COM1,Q8,14,Charging stations / plugs don’t work / add more,Negative
325,Q8COM1,Q8,1,General positive comment / everything is great,Positive
328,Q8COM1,Q8,1,General positive comment / everything is great,Positive
330,Q8COM1,Q8,58,Add more walkways / connect terminals / better directions,Negative
331,Q8COM1,Q8,24,More trash / recycling / compost bins,Negative
332,Q8COM1,Q8,24,More trash / recycling / compost bins,Negative
333,Q8COM1,Q8,101,Too expensive / reduce prices / cheaper options,Negative
339,Q8COM1,Q8,1,General positive comment / everything is great,Positive
341,Q8COM1,Q8,1,General positive comment / everything is great,Positive
345,Q8COM1,Q8,105,Improve quality of food,Negative
350,Q8COM1,Q8,104,"Add specific restaurant types (e.g., Asian, breakfast, pizza)",Negative
358,Q8COM1,Q8,1,General positive comment / everything is great,Positive
360,Q8COM1,Q8,105,Improve quality of food,Negative
364,Q8COM1,Q8,5,Reduce delays / finish runway construction,Negative
367,Q8COM1,Q8,1,General positive comment / everything is great,Positive
369,Q8COM1,Q8,53,Boarding signs rotate too quickly / text too small,Negative
370,Q8COM1,Q8,56,Could not find gate / signage insufficient,Negative
371,Q8COM1,Q8,1,General positive comment / everything is great,Positive
378,Q8COM1,Q8,1,General positive comment / everything is great,Positive
379,Q8COM1,Q8,103,More casual/fast food options,Negative
380,Q8COM1,Q8,58,Add more walkways / connect terminals / better directions,Negative
384,Q8COM1,Q8,75,More/cheaper parking / better signage & info,Negative
385,Q8COM1,Q8,14,Charging stations / plugs don’t work / add more,Negative
386,Q8COM1,Q8,104,"Add specific restaurant types (e.g., Asian, breakfast, pizza)",Negative
387,Q8COM1,Q8,1,General positive comment / everything is great,Positive
388,Q8COM1,Q8,5,Reduce delays / finish runway construction,Negative
389,Q8COM1,Q8,59,AirTrain signage nonexistent / confusing,Negative
391,Q8COM1,Q8,102,Wider selection of restaurants,Negative
392,Q8COM1,Q8,1,General positive comment / everything is great,Positive
394,Q8COM1,Q8,1,General positive comment / everything is great,Positive
397,Q8COM1,Q8,204,Streamline customs/immigration; lines too long,Negative
398,Q8COM1,Q8,72,Approach by car too congested,Negative
399,Q8COM1,Q8,151,Wider selection of shops,Negative
403,Q8COM1,Q8,21,Add televisions,Negative
404,Q8COM1,Q8,66,Difficult to navigate with disabilities,Negative
405,Q8COM1,Q8,151,Wider selection of shops,Negative
406,Q8COM1,Q8,4,Don’t know / don’t come enough to know,Neutral
407,Q8COM1,Q8,1,General positive comment / everything is great,Positive
415,Q8COM1,Q8,74,Rental car center too congested / far / not accessible,Negative
419,Q8COM1,Q8,101,Too expensive / reduce prices / cheaper options,Negative
423,Q8COM1,Q8,1,General positive comment / everything is great,Positive
427,Q8COM1,Q8,21,Add televisions,Negative
429,Q8COM1,Q8,102,Wider selection of restaurants,Negative
